Station id,Station name,Date,Number of trips
74,Rajasaarentie,2020-03-23,15
74,Rajasaarentie,2020-03-24,17
74,Rajasaarentie,2020-03-25,16
74,Rajasaarentie,2020-03-26,23
74,Rajasaarentie,2020-03-27,15
74,Rajasaarentie,2020-03-28,35
74,Rajasaarentie,2020-03-29,43
74,Rajasaarentie,2020-03-30,16
75,Korjaamo,2020-03-23,26
75,Korjaamo,2020-03-24,25
75,Korjaamo,2020-03-25,25
75,Korjaamo,2020-03-26,27
75,Korjaamo,2020-03-27,48
75,Korjaamo,2020-03-28,40
75,Korjaamo,2020-03-29,45
75,Korjaamo,2020-03-30,33
76,Olympiastadion,2020-03-23,22
76,Olympiastadion,2020-03-24,17
76,Olympiastadion,2020-03-25,25
76,Olympiastadion,2020-03-26,45
76,Olympiastadion,2020-03-27,26
76,Olympiastadion,2020-03-28,36
76,Olympiastadion,2020-03-29,42
76,Olympiastadion,2020-03-30,29
77,Nordenskiöldinaukio,2020-03-23,16
77,Nordenskiöldinaukio,2020-03-24,14
77,Nordenskiöldinaukio,2020-03-25,24
77,Nordenskiöldinaukio,2020-03-26,24
77,Nordenskiöldinaukio,2020-03-27,31
77,Nordenskiöldinaukio,2020-03-28,21
77,Nordenskiöldinaukio,2020-03-29,34
77,Nordenskiöldinaukio,2020-03-30,19
78,Messeniuksenkatu,2020-03-23,0
78,Messeniuksenkatu,2020-03-24,24
78,Messeniuksenkatu,2020-03-25,20
78,Messeniuksenkatu,2020-03-26,31
78,Messeniuksenkatu,2020-03-27,37
78,Messeniuksenkatu,2020-03-28,44
78,Messeniuksenkatu,2020-03-29,37
78,Messeniuksenkatu,2020-03-30,37
79,Uimastadion,2020-03-23,0
79,Uimastadion,2020-03-24,0
79,Uimastadion,2020-03-25,2
79,Uimastadion,2020-03-26,13
79,Uimastadion,2020-03-27,6
79,Uimastadion,2020-03-28,32
79,Uimastadion,2020-03-29,15
79,Uimastadion,2020-03-30,8
80,Jäähalli,2020-03-23,28
80,Jäähalli,2020-03-24,22
80,Jäähalli,2020-03-25,17
80,Jäähalli,2020-03-26,26
80,Jäähalli,2020-03-27,29
80,Jäähalli,2020-03-28,29
80,Jäähalli,2020-03-29,32
80,Jäähalli,2020-03-30,20
81,Stenbäckinkatu,2020-03-23,12
81,Stenbäckinkatu,2020-03-24,13
81,Stenbäckinkatu,2020-03-25,23
81,Stenbäckinkatu,2020-03-26,15
81,Stenbäckinkatu,2020-03-27,18
81,Stenbäckinkatu,2020-03-28,14
81,Stenbäckinkatu,2020-03-29,18
81,Stenbäckinkatu,2020-03-30,33
82,Töölöntulli,2020-03-23,12
82,Töölöntulli,2020-03-24,20
82,Töölöntulli,2020-03-25,12
82,Töölöntulli,2020-03-26,19
82,Töölöntulli,2020-03-27,21
82,Töölöntulli,2020-03-28,44
82,Töölöntulli,2020-03-29,27
82,Töölöntulli,2020-03-30,31
83,Meilahden sairaala,2020-03-23,0
83,Meilahden sairaala,2020-03-24,29
83,Meilahden sairaala,2020-03-25,28
83,Meilahden sairaala,2020-03-26,18
83,Meilahden sairaala,2020-03-27,29
83,Meilahden sairaala,2020-03-28,20
83,Meilahden sairaala,2020-03-29,14
83,Meilahden sairaala,2020-03-30,28
84,Paciuksenkatu,2020-03-23,11
84,Paciuksenkatu,2020-03-24,5
84,Paciuksenkatu,2020-03-25,23
84,Paciuksenkatu,2020-03-26,19
84,Paciuksenkatu,2020-03-27,18
84,Paciuksenkatu,2020-03-28,30
84,Paciuksenkatu,2020-03-29,19
84,Paciuksenkatu,2020-03-30,17
85,Jalavatie,2020-03-23,12
85,Jalavatie,2020-03-24,10
85,Jalavatie,2020-03-25,4
85,Jalavatie,2020-03-26,11
85,Jalavatie,2020-03-27,14
85,Jalavatie,2020-03-28,8
85,Jalavatie,2020-03-29,12
85,Jalavatie,2020-03-30,19
86,Kuusitie,2020-03-23,21
86,Kuusitie,2020-03-24,12
86,Kuusitie,2020-03-25,20
86,Kuusitie,2020-03-26,30
86,Kuusitie,2020-03-27,22
86,Kuusitie,2020-03-28,22
86,Kuusitie,2020-03-29,28
86,Kuusitie,2020-03-30,32
